speciesA,speciesB,author,datatype,hybrid,exclude,notes,overlap,records
acutissima,baronii,sproc,sproc,0,,,,
acutissima,engleriana,sproc,sproc,0,,,,
acutissima,semecarpifolia,sproc,sproc,0,,,,
acutissima,pseudosemecarpifolia,sproc,sproc,0,,,,
acutissima,monimotricha,sproc,sproc,0,,,,
acutissima,gujavifolia,sproc,sproc,0,,,,
acutissima,championii,sproc,sproc,0,,,,
acutissima,delavayi,sproc,sproc,0,,,,
acutissima,schottkyana,sproc,sproc,0,,,,
acutissima,oxyodon,sproc,sproc,0,,,,
acutissima,myrsinifolia,sproc,sproc,0,,,,
acutissima,salicina,sproc,sproc,0,,,,
acutissima,acuta,sproc,sproc,0,,,,
acutissima,sessilifolia,sproc,sproc,0,,,,
acutissima,blakei,sproc,sproc,0,,,,
acutissima,pachyloma,sproc,sproc,0,,,,
acutissima,falcata,sproc,sproc,0,,,,
acutissima,mongolica,sproc,sproc,0,,,,
acutissima,dentata,sproc,sproc,0,,,,
acutissima,serrata,sproc,sproc,0,,,,
acutissima,griffithii,sproc,sproc,0,,,,
acutissima,aliena,sproc,sproc,0,,,,
acutissima,fabri,sproc,sproc,0,,,,
ithaburensis,phillyreoides,sproc,sproc,0,,,,
ithaburensis,texana,sproc,sproc,0,,,,
ithaburensis,pagoda,sproc,sproc,0,,,,
ithaburensis,falcata,sproc,sproc,0,,,,
ithaburensis,macranthera,sproc,sproc,0,,,,
ithaburensis,infectoria,sproc,sproc,0,,,,
ithaburensis,boissieri,sproc,sproc,0,,,,
ithaburensis,frainetto,sproc,sproc,0,,,,
suber,phillyreoides,sproc,sproc,0,,,,
suber,rotundifolia,sproc,sproc,0,,,,
suber,ilex,sproc,sproc,0,,,,
suber,coccifera,sproc,sproc,0,,,,
suber,texana,sproc,sproc,0,,,,
suber,pagoda,sproc,sproc,0,,,,
suber,falcata,sproc,sproc,0,,,,
suber,costaricensis,sproc,sproc,0,,,,
suber,petraea,sproc,sproc,0,,,,
suber,robur,sproc,sproc,0,,,,
suber,canariensis,sproc,sproc,0,,,,
suber,lusitanica,sproc,sproc,0,,,,
suber,faginea,sproc,sproc,0,,,,
suber,macranthera,sproc,sproc,0,,,,
suber,pyrenaica,sproc,sproc,0,,,,
suber,pubescens,sproc,sproc,0,,,,
suber,frainetto,sproc,sproc,0,,,,
cerris,phillyreoides,sproc,sproc,0,,,,
cerris,rotundifolia,sproc,sproc,0,,,,
cerris,ilex,sproc,sproc,0,,,,
cerris,coccifera,sproc,sproc,0,,,,
cerris,texana,sproc,sproc,0,,,,
cerris,pagoda,sproc,sproc,0,,,,
cerris,falcata,sproc,sproc,0,,,,
cerris,costaricensis,sproc,sproc,0,,,,
cerris,petraea,sproc,sproc,0,,,,
cerris,robur,sproc,sproc,0,,,,
cerris,canariensis,sproc,sproc,0,,,,
cerris,lusitanica,sproc,sproc,0,,,,
cerris,faginea,sproc,sproc,0,,,,
cerris,macranthera,sproc,sproc,0,,,,
cerris,pyrenaica,sproc,sproc,0,,,,
cerris,infectoria,sproc,sproc,0,,,,
cerris,boissieri,sproc,sproc,0,,,,
cerris,pubescens,sproc,sproc,0,,,,
cerris,frainetto,sproc,sproc,0,,,,
franchetii,delavayi,sproc,sproc,0,,,,
franchetii,schottkyana,sproc,sproc,0,,,,
franchetii,oxyodon,sproc,sproc,0,,,,
franchetii,griffithii,sproc,sproc,0,,,,
phillyreoides,championii,sproc,sproc,0,,,,
phillyreoides,delavayi,sproc,sproc,0,,,,
phillyreoides,kerrii,sproc,sproc,0,,,,
phillyreoides,schottkyana,sproc,sproc,0,,,,
phillyreoides,oxyodon,sproc,sproc,0,,,,
phillyreoides,myrsinifolia,sproc,sproc,0,,,,
phillyreoides,salicina,sproc,sproc,0,,,,
phillyreoides,acuta,sproc,sproc,0,,,,
phillyreoides,sessilifolia,sproc,sproc,0,,,,
phillyreoides,blakei,sproc,sproc,0,,,,
phillyreoides,pachyloma,sproc,sproc,0,,,,
phillyreoides,texana,sproc,sproc,0,,,,
phillyreoides,pagoda,sproc,sproc,0,,,,
phillyreoides,falcata,sproc,sproc,0,,,,
phillyreoides,costaricensis,sproc,sproc,0,,,,
phillyreoides,mongolica,sproc,sproc,0,,,,
phillyreoides,dentata,sproc,sproc,0,,,,
phillyreoides,serrata,sproc,sproc,0,,,,
phillyreoides,griffithii,sproc,sproc,0,,,,
phillyreoides,aliena,sproc,sproc,0,,,,
phillyreoides,fabri,sproc,sproc,0,,,,
phillyreoides,robur,sproc,sproc,0,,,,
